MBP1;HCM1
RPN4;BMH1
RPN4;YAP1
NRG1;USV1
ADR1;PIP2
ADR1;SWI1
SUM1;SUM1
GCN4;UGA3
GCN4;GLN3
GCN4;RTG2
GCN4;STP2
GCN4;VHR1
GCN4;LYS1
GCN4;PDR8
GCN4;LEU3
GCN4;WAR1
GCN4;GAT2
GCN4;URE2
GCN4;MET4
GCN4;NRM1
GCN4;ARG8
GCN4;WTM1
GCN4;TEA1
GCN4;RTG3
GCN4;SIP4
GLN3;UGA3
GLN3;GCN4
FLO8;CUP9
PHO4;CBF1
PHO4;STB1
PHO4;TYE7
CUP2;CUP2
AFT1;AFT1
MIG1;MIG1
PDR1;RPN4
STB5;BMH1
STB5;RME1
STB5;STB5
STB5;MSN4
SKN7;NRG1
SKN7;XBP1
SKN7;YAP5
SKN7;LYS1
SKN7;MSN4
SKN7;PHD1
SKN7;HMS1
SKN7;TYE7
SKN7;USV1
SKN7;ROX1
FKH1;SWI5
FKH1;HAC1
FKH1;MET3
FKH1;ACE2
FKH1;FKH2
FKH1;HIR2
FKH1;WTM1
FKH1;CUP9
FKH1;GCR1
FKH1;SWI1
YAP5;GRX4
CBF1;YAP6
CBF1;SUM1
CBF1;SRB2
CBF1;CBF1
CBF1;PDR8
CBF1;MSN2
CBF1;MET2
CBF1;URE2
CBF1;YRR1
HAP4;GRX4
HAP4;HAP4
MSN4;ADR1
MSN4;ACA1
MSN4;MGA1
MSN4;XBP1
MSN4;HAP4
MSN4;MSN4
MSN4;MSN2
MSN4;MET2
MSN4;WTM1
MSN4;USV1
MSN4;SWI1
RFX1;RFX1
HAP1;MOT3
HAP1;ROX1
YAP1;SWI5
YAP1;YAP6
YAP1;ARO8
YAP1;YAP1
YAP1;YRR1
YAP1;AFT2
YAP1;ROX1
MSN2;GIS1
MSN2;UME6
MSN2;ADR1
MSN2;YAP6
MSN2;ACA1
MSN2;HAC1
MSN2;MGA1
MSN2;XBP1
MSN2;HAP4
MSN2;MSN4
MSN2;MSN2
MSN2;MOT3
MSN2;MTF1
MSN2;MET2
MSN2;CIN5
MSN2;WTM1
MSN2;TYE7
MSN2;USV1
MSN2;CUP9
MSN2;SWI1
MSN2;HAA1
SKO1;MSN2
SKO1;SWI1
MET4;MET2
FKH2;SWI5
FKH2;ACE2
FKH2;HIR2
FKH2;TYE7
FKH2;SUT2
CRZ1;GIS1
CRZ1;UPC2
CRZ1;HAC1
CRZ1;PHD1
CRZ1;SOK2
CRZ1;MET2
CRZ1;CRZ1
INO4;OPI1
INO4;MSN2
INO4;MOT3
INO4;SWI1
CIN5;CIN5
YRR1;HAC1
YRR1;MIG2
YRR1;HAP4
YRR1;YOX1
YRR1;YRR1
YRR1;TYE7
YRR1;PDR3
TYE7;MSN2
PIP2;GIS1
PIP2;MSN2
PIP2;PIP2
GAL4;GAL1
RLM1;RLM1
GCR1;BMH1
ROX1;XBP1
ROX1;USV1
ROX1;ROX1
OAF1;UME6
OAF1;PIP2
PDR3;PDR3
TEC1;NRG1
TEC1;ADA2
TEC1;YHP1
TEC1;FLO8
TEC1;SUT1
TEC1;KSS1
TEC1;MGA1
TEC1;IME1
TEC1;PHD1
TEC1;SFP1
TEC1;MSN2
TEC1;TEC1
ZAP1;ZAP1
